max_nw,active_workers_history,service_time_history,service_time_goal,emitter_elapsed_time_history,workers_elapsed_time_history,collector_elapsed_time_history
8,2,224,100,564,448,540
8,4,112,100,5,454,0
8,5,86,100,839,414,387
8,4,156,100,2,817,820
8,6,86,100,1,417,0
8,5,93,100,1,410,8
8,5,168,100,2,1217,0
8,8,78,100,410,419,10
8,6,155,100,3,1233,13
8,8,135,100,1,1238,408
8,8,94,100,429,422,0
8,8,73,100,2,422,0
8,6,86,100,1,452,40
8,5,134,100,445,827,411
8,7,109,100,2,860,0
8,8,101,100,1,854,0
8,8,77,100,1,422,407
8,6,153,100,2,1223,0
8,8,111,100,1,857,0
8,8,134,100,1,1264,405
8,8,143,100,410,1219,0
8,8,122,100,1,814,0
8,8,112,100,1,820,406
8,8,132,100,1,1218,0
8,8,117,100,392,814,0
8,8,109,100,770,823,406
8,8,102,100,2,765,0
8,8,102,100,2,812,0
8,8,119,100,501,1094,479
8,8,91,100,2,516,0
8,7,115,100,2,887,0
8,8,116,100,1,1056,264
8,8,151,100,1,1485,0
8,8,133,100,409,922,143
8,8,92,100,6,421,405
8,7,157,100,1,1463,0
8,8,119,100,2,807,0
8,8,140,100,411,1296,0
8,8,96,100,1,417,405
8,8,98,100,1,806,0
8,8,99,100,1,806,0
8,8,100,100,1,810,0
8,8,76,100,410,415,405
8,6,60,100,1,114,0
8,4,145,100,1,806,0
8,6,57,100,1,107,0
8,3,75,100,410,109,0
8,2,259,100,1,811,0
8,5,125,100,2,734,405
8,6,147,100,1,1139,0
8,8,61,100,108,107,0
8,5,60,100,107,113,0
8,3,184,100,2,805,0
8,6,61,100,107,181,0
8,4,59,100,108,108,0
8,2,185,100,1,505,0
8,4,81,100,1,281,0
8,3,72,100,1,111,0
8,2,105,100,108,205,0
8,2,255,100,108,811,0
8,5,71,100,2,207,106
8,4,70,100,1,206,0
8,3,65,100,107,112,0
8,2,177,100,2,512,0
8,4,70,100,1,208,105
8,3,82,100,109,215,0
8,2,115,100,3,214,0
8,2,87,100,2,117,2
8,2,95,100,1,208,405
8,2,101,100,1,214,0
8,2,102,100,109,206,0
8,2,80,100,2,116,0
8,2,91,100,1,206,0
8,2,98,100,1,212,0
8,2,77,100,1,112,0
8,2,89,100,108,205,0
8,2,97,100,1,212,0
8,2,76,100,1,110,0
8,2,89,100,1,205,0
8,2,709,100,107,2659,0
8,8,101,100,1,207,104
8,8,57,100,1,111,0
8,5,66,100,107,205,0
8,3,141,100,2,518,0
8,4,79,100,1,208,104
8,3,71,100,107,112,0
8,2,104,100,1,205,0
8,2,235,100,1,731,0
8,5,67,100,1,208,104
8,3,75,100,107,112,0
8,2,107,100,1,205,0
8,2,106,100,1,210,0
8,2,105,100,1,208,104
8,2,80,100,107,112,0
8,2,91,100,1,205,0
8,2,98,100,1,210,0
8,2,101,100,1,208,105
8,2,101,100,107,205,0
8,2,103,100,1,210,0
8,2,212,100,1,644,111
8,4,154,100,1,814,562
8,6,127,100,811,908,810
8,8,147,100,2,1599,0
8,8,173,100,1,1589,0
8,8,137,100,1,821,807
8,8,169,100,1,1607,0
8,8,228,100,1,2301,0
8,8,257,100,1,2290,0
8,8,366,100,2147,3797,1616
8,8,317,100,3,2156,547
8,8,393,100,3,3750,11
8,8,333,100,2,2185,5
8,8,367,100,2,3210,231
8,8,247,100,2,1023,229
8,8,309,100,1,2972,324
8,8,339,100,1,2963,5
8,8,406,100,1246,3788,6
8,8,270,100,611,1080,278
8,8,233,100,2,1577,755
8,8,236,100,1,1905,78
8,8,255,100,1,2203,754
8,8,182,100,1601,868,22
8,8,193,100,12,1644,33
8,8,240,100,5,2294,366
8,8,172,100,3,838,414
8,8,137,100,6,824,8
8,8,170,100,3,1622,17
8,8,278,100,814,3099,371
8,8,217,100,1,1246,429
8,8,160,100,9,825,7
8,8,325,100,813,3919,367
8,8,313,100,2,2419,435
8,8,207,100,2,809,7
8,8,177,100,1,1181,801
8,8,214,100,806,2013,0
8,8,258,100,2,2413,0
8,8,501,100,9,5955,0
8,8,301,100,1,811,9
8,8,251,100,809,1609,353
8,8,277,100,1,2430,10
8,8,239,100,1,1615,1486
8,8,198,100,810,1254,0
8,8,150,100,1,817,0
8,8,175,100,1,1611,0
8,8,216,100,1,2058,0
8,8,261,100,1,2447,581
8,8,233,100,721,1649,24
8,8,260,100,2,2295,204
8,8,282,100,65,2445,555
8,8,334,100,14,3096,164
